Program Code,Vendor Name,Description,Amount,Transaction Date,Category,Subcategory,Invoice Number,Reference Number
PROG001,ABC Supplies Inc,Office supplies for Q1 2024,1250.00,2024-01-15,Supplies,Office,INV-2024-001,REF-001
PROG001,XYZ Consulting,Professional services - January,5000.00,2024-01-20,Services,Consulting,INV-2024-002,REF-002
PROG002,Office Depot,Computer equipment and software,3200.00,2024-01-25,Equipment,Computers,INV-2024-003,REF-003
PROG001,ABC Supplies Inc,Additional office supplies,750.00,2024-02-01,Supplies,Office,INV-2024-004,REF-004
PROG002,Cloud Hosting Corp,Server hosting services - February,1800.00,2024-02-05,Services,Hosting,INV-2024-005,REF-005
PROG001,XYZ Consulting,Professional services - February,5000.00,2024-02-15,Services,Consulting,INV-2024-006,REF-006
PROG002,Office Depot,Printer and supplies,450.00,2024-02-20,Equipment,Printers,INV-2024-007,REF-007
PROG001,Travel Express,Airfare for team meeting,1200.00,2024-03-01,Travel,Airfare,INV-2024-008,REF-008
PROG002,Cloud Hosting Corp,Server hosting services - March,1800.00,2024-03-05,Services,Hosting,INV-2024-009,REF-009
PROG001,ABC Supplies Inc,Office supplies for Q2 2024,1100.00,2024-03-15,Supplies,Office,INV-2024-010,REF-010 